List of airliner shootdown incidents,DrilBot,1252373612,312505486
List of airliner shootdown incidents,CasualObserver'48,1252654416,313150189
List of airliner shootdown incidents,129.170.66.36,1256254623,321479887
List of airliner shootdown incidents,129.170.66.36,1256254668,321479993
List of airliner shootdown incidents,VVPushkin,1256373312,321724082
List of airliner shootdown incidents,Heracletus,1256755138,322581101
List of airliner shootdown incidents,82.81.173.179,1258095130,325580419
List of airliner shootdown incidents,82.81.173.179,1258095233,325580576
List of airliner shootdown incidents,CasualObserver'48,1258123004,325625048
List of airliner shootdown incidents,Full-date unlinking bot,1258955958,327424843
List of airliner shootdown incidents,Nouridin,1261909522,334240688
List of airliner shootdown incidents,Stimpy,1265397581,342147056
List of airliner shootdown incidents,Will Beback,1270672103,354599352
List of airliner shootdown incidents,Searcher 1990,1271293186,356080997
List of airliner shootdown incidents,Searcher 1990,1271293214,356081079
List of airliner shootdown incidents,Searcher 1990,1271293278,356081247
List of airliner shootdown incidents,Searcher 1990,1271293455,356081714
List of airliner shootdown incidents,Searcher 1990,1271293530,356081925
List of airliner shootdown incidents,Bert Schlossberg,1271822653,357345201
List of airliner shootdown incidents,Bert Schlossberg,1271822817,357345559
List of airliner shootdown incidents,71.76.25.51,1272462453,358847185
List of airliner shootdown incidents,Starbois,1272649890,359293510
List of airliner shootdown incidents,67.190.217.210,1280102319,375454150
List of airliner shootdown incidents,67.190.217.210,1280102464,375454514
List of airliner shootdown incidents,Bert Schlossberg,1281114608,377507654
List of airliner shootdown incidents,Will Beback,1281496150,378296712
List of airliner shootdown incidents,Chrism,1281621728,378539420
List of airliner shootdown incidents,Chrism,1281622392,378540816
List of airliner shootdown incidents,Tec15,1282404564,380161187
List of airliner shootdown incidents,Woohookitty,1282626799,380647086
List of airliner shootdown incidents,Jollyroger,1282830392,381118042
List of airliner shootdown incidents,93.39.203.131,1287245886,391077561
List of airliner shootdown incidents,Bert Schlossberg,1287538849,391757071
List of airliner shootdown incidents,WilliamJE,1287569433,391810689
List of airliner shootdown incidents,Jdu46,1288724279,394426734
List of airliner shootdown incidents,Mannerheim,1289478928,396118290
List of airliner shootdown incidents,Mannerheim,1289478974,396118349
List of airliner shootdown incidents,Mannerheim,1289479093,396118535
List of airliner shootdown incidents,Mannerheim,1289479160,396118654
List of airliner shootdown incidents,143.167.216.73,1291015931,399481898
List of airliner shootdown incidents,Format,1294126826,405846580
List of airliner shootdown incidents,58.152.186.116,1295787934,409550027
List of airliner shootdown incidents,Jill Orly,1297056693,412482381
List of airliner shootdown incidents,Turkeyphant,1299335270,417255626
List of airliner shootdown incidents,Chrism,1299759092,418117468
List of airliner shootdown incidents,96.232.126.111,1299761222,418120739
List of airliner shootdown incidents,96.232.126.111,1299761263,418120831
List of airliner shootdown incidents,Decora,1299798471,418207023
List of airliner shootdown incidents,Decora,1299798501,418207089
List of airliner shootdown incidents,Decora,1299798530,418207156
List of airliner shootdown incidents,Decora,1299883392,418367790
List of airliner shootdown incidents,Decora,1299883428,418367877
List of airliner shootdown incidents,Ouroboris,1302564069,423596998
List of airliner shootdown incidents,Robofish,1303170360,424770705
List of airliner shootdown incidents,96.48.13.234,1304916906,428195020
List of airliner shootdown incidents,198.103.104.11,1307371628,432857249
List of airliner shootdown incidents,198.103.104.11,1307371647,432857288
List of airliner shootdown incidents,71.252.252.20,1307763617,433661581
List of airliner shootdown incidents,Nick Moss,1309841617,437817164
List of airliner shootdown incidents,Lightbot,1313091897,444318195
List of airliner shootdown incidents,Richard.decal,1313776495,445699482
List of airliner shootdown incidents,81.173.160.183,1317502803,453426394
List of airliner shootdown incidents,AnomieBOT,1317504017,453429048
